description_en,description_zh
ALL NATURAL GLUTEN FREE CHICKEN NUGGETS,无麸质天然鸡块
"ALL NATURAL ROSEMARY & OLIVE OIL BASMATI RICE, ROSEMARY; OLIVE OIL","天然迷迭香橄榄油巴斯马蒂米,迷迭香;橄榄油口味"
ALMOND MILK,杏仁奶
"ALMOND MILK, ORIGINAL",杏仁奶，原味
ARTISAN SMOOTH & CREAMY GELATO,手工顺滑奶油意式冰淇淋
"ARTISAN SMOOTH & CREAMY GELATO, TOASTED COCONUT",椰子味手工顺滑奶油意式冰淇淋
ARTISANAL COLLECTION SPAGHETTI PASTA,手工收藏意大利面意大利面
AUTHENTIC BARREL RIPENED FETA CHEESE,希腊式正宗桶酿羊乳酪
AdvancePierre Flamebroiled Rib Shaped Pork Patty Topped with BBQ Sauce ,烤排骨形猪肉饼加BBQ酱（AdvancePierre）
BARBECUE SAUCE,烧烤酱
"BARBECUE SAUCE, HONEY",蜜烤酱
BERRY NUT BLEND BREAKFAST IN THE GO! ,便携混合浆果坚果早餐！
"BLACK CHERRY PURE ENERGY SELTZER, BLACK CHERRY","黑樱桃纯能量气泡水, 黑樱桃口味"
BLUE LAKE CUT GREEN BEANS,蓝湖切青豆
BRIE TRIPLE CRME SOFT-RIPENED CHEESE,布里三重奶油软质成熟奶酪
BUFFALO STYLE WHIPPED CREAM CHEESE SPREAD,水牛城风味打发的奶油芝士酱
CARROT CAKE & FROSTING MIX,胡萝卜蛋糕与糖霜混合料
CHEDDAR & SOUR CREAM FLAVORED POTATO CHIPS,切达芝士与酸奶油味薯片
"CHEDDAR & SOUR CREAM FLAVORED POTATO CHIPS, CHEDDAR; SOUR CREAM","切达奶酪与酸奶油味薯片, 切达; 酸奶油"
"CHOCOLATE CAKE HOOPIE PIES,  CHOCOLATE CAKE","巧克力蛋糕环形派, 巧克力蛋糕"
"CHOCOLATE CHIP PROTEIN MUFFIN MIX, CHOCOLATE",巧克力片蛋白松饼混合粉，巧克力口味
COCONUT WATER BARS,椰子水棒冰
"COCONUT WATER BARS, MANGO",芒果椰子水冰棒
Ciabatta Pepper Jack Melt WG,意式面包培珀杰克芝士熔岩 WG
"DEATH WISH COFFEE CO LATTE, 8 FL OZ",死愿咖啡公司拿铁，8液体盎司
DRIED CHERRIES,干樱桃
DULCE DE LECHE CREAM  WAFER COOKIES,甜炼乳奶油威化饼干
"EARLY BIRD MULTI SEED ORGANIC SMALL BATCH BREAD, EARLY BIRD MULTI SEED",早鸟多籽有机小批量面包，早鸟多籽风味
EGGPLANT,茄子
EVERYTHING DELI-STYLE BREADSTICKS,便利店风格全味面包棒
EXTRA SHARP WHITE CHEDDAR CHEESE,白切达干酪（Extra Sharp）
Egg whites,蛋白
"Egg whites, dried",蛋白粉
Egg yolk,蛋黄
"Egg yolks, dried",蛋黄，干制
"FOUR CHEESE RAVIOLI PASTA, RICOTTA; MOZZARELLA; PARMESAN; ROMANO",四奶酪意大利饺面，瑞科塔；马苏里拉；帕尔马；罗马诺奶酪口味
