description_zh,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_total_dietary_g,sugars_g,fe_mg,na_mg,serving_size_g,description_en,source
fonio谷物,0.0,7.16875,1.685,81.30525,2.2485,0.0,2.355,1.4835,0.0,"Fonio, grain, dry, raw",foundation
三文鱼,231.0,22.1146875,11.9015,0.01,0.0,0.01,0.3628,114.9475,125.0,"Fish, salmon, Atlantic, farm raised, raw",foundation
三文鱼沙拉,213.0,10.82,17.36,2.73,0.4,1.98,0.43,507.0,156.0,Salmon salad,fndd
三文鱼烟熏,117.0,18.28,4.32,0.0,0.0,0.0,0.85,672.0,110.0,"Fish, salmon, smoked",fndd
三文鱼饼,285.0,16.07,22.1,4.46,0.3,0.65,0.71,404.0,85.0,"Fish, salmon cake or patty",fndd
三明治,287.0,12.75,12.03,33.83,1.9,8.88,2.05,542.0,115.0,"Sandwich, NFS",fndd
上脑牛排,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"B12, B6, B3, B2 - Beef, Top Loin steak, boneless, L_choice, raw, comp4, lean",foundation
中式餐厅炒饭（无肉）,174.0,3.84,3.5033333333333334,32.5,0.0,0.0,0.46,361.0,136.5,"Chinese Restaurant, Fried Rice (No Meat) (CO1) - NFY1209EM",foundation
丹麦酥饼，原味或香料味,403.0,7.0,22.4,44.6,1.3,19.78,1.96,414.0,54.5,"Danish pastry, plain or spice",fndd
丹麦酥饼，奶酪味,374.0,8.0,21.9,37.2,1.0,6.95,1.8,417.0,63.0,"Danish pastry, with cheese",fndd
丹麦酥，水果味,371.0,5.4,18.5,47.8,1.9,27.53,1.77,445.0,56.0,"Danish pastry, with fruit",fndd
五花肉,404.0,26.58,32.24,0.0,0.0,0.0,1.08,448.0,30.0,"Pork, belly",fndd
亚洲梨，生,42.0,0.5,0.23,10.65,3.6,7.05,0.0,0.0,275.0,"Pear, Asian, raw",fndd
亚麻籽,545.0,18.04,37.28,34.36,23.1,1.55,5.78,37.0,88.5,Flax seeds,fndd
亚麻籽油,884.0,0.11,99.98,0.0,0.0,0.0,0.0,0.0,14.0,Flaxseed oil,fndd
亚麻籽粉,0.0,18.0359,39.3575,34.3551,22.34,0.0,5.7665,34.67,0.0,"Flaxseed, ground",foundation
人造黄油，棍状,717.0,0.16,80.71,0.7,0.0,0.0,0.06,751.0,14.0,"Margarine, stick",fndd
人造黄油，罐装,533.0,0.17,59.81,0.86,0.0,0.0,0.0,674.0,14.0,"Margarine, tub",fndd
人造黄油，轻盈型,346.0,0.33,37.91,1.22,0.0,0.0,0.03,586.0,14.0,"Margarine, light",fndd
仙人掌，煮熟，加油,38.0,1.29,2.63,3.23,2.1,1.12,0.57,141.0,78.0,"Cactus, cooked, fat added",fndd
仙人掌，煮熟，无添加脂肪,16.0,1.32,0.09,3.32,2.2,1.15,0.59,137.0,75.0,"Cactus, cooked, no added fat",fndd
仙人掌，生,16.0,1.32,0.09,3.33,2.2,1.15,0.59,21.0,75.0,"Cactus, raw",fndd
代糖与糖混合物,399.0,0.0,0.31,99.35,0.0,99.22,0.05,1.0,2.0,Sugar substitute and sugar blend,fndd
代糖，糖精，粉末状,336.0,0.0,0.0,91.17,0.0,80.33,0.0,0.0,0.5,"Sugar substitute, sucralose, powder",fndd
代糖，阿斯巴甜，粉状,365.0,2.17,0.0,89.08,0.0,80.7,0.04,0.0,1.0,"Sugar substitute, aspartame, powder",fndd
仿制奶酪,390.0,25.0,32.0,1.0,0.0,1.0,0.7,670.0,21.0,Imitation cheese,fndd
仿蟹肉,95.0,7.62,0.46,15.0,0.5,6.25,0.39,529.0,110.0,Imitation crab meat,fndd
伏特加,231.0,0.0,0.0,0.0,0.0,0.0,0.04,1.0,42.0,Vodka,fndd
伏特加减肥可乐混合饮,60.0,0.08,0.02,0.22,0.0,0.0,0.09,6.0,225.0,Vodka and diet cola,fndd
伏特加可乐,89.0,0.0,0.19,7.8,0.0,7.48,0.02,3.0,225.0,Vodka and cola,fndd
伏特加柠檬汽水,93.0,0.0,0.0,9.02,0.0,8.71,0.01,5.0,225.0,Vodka and lemonade,fndd
伏特加水,59.0,0.0,0.0,0.0,0.0,0.0,0.01,3.0,225.0,Vodka and water,fndd
